song_id,artist_individ,artist_name,track_name,artist_count,collab_artist,relationship,artist_x,artist_y,circle_y,streams
27,Post Malone,Post Malone,Circles,1,Post Malone,Post Malone-Post Malone,-713,622,622,2132335812
24,Queen,Queen,Bohemian Rhapsody - Remastered 2011,1,Queen,Queen-Queen,917,596,596,2197010679
90,Quevedo,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",2,Bizarrap,Bizarrap-Quevedo,900,-583,-583,1356565093
90,Quevedo,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",2,Quevedo,Quevedo-Quevedo,900,-583,-583,1356565093
101,Radiohead,Radiohead,Creep,1,Radiohead,Radiohead-Radiohead,964,-546,-546,1271293243
122,Rauw Alejandro,Rauw Alejandro,Todo De Ti,1,Rauw Alejandro,Rauw Alejandro-Rauw Alejandro,570,622,622,1168642797
33,Ray Dalton,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Ray Dalton,Ray Dalton-Ray Dalton,-138,82,82,1953533826
33,Ray Dalton,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Ryan Lewis,Ray Dalton-Ryan Lewis,-138,82,82,1953533826
33,Ray Dalton,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Macklemore,Macklemore-Ray Dalton,-138,82,82,1953533826
108,Rihanna,"Rihanna, Calvin Harris",We Found Love,2,Rihanna,Rihanna-Rihanna,315,-517,-517,1235005533
108,Rihanna,"Rihanna, Calvin Harris",We Found Love,2,Calvin Harris,Calvin Harris-Rihanna,315,-517,-517,1235005533
134,Ruth B.,Ruth B.,Dandelions,1,Ruth B.,Ruth B.-Ruth B.,-888,725,725,1116995633
33,Ryan Lewis,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Ray Dalton,Ray Dalton-Ryan Lewis,-735,-24,-24,1953533826
33,Ryan Lewis,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Ryan Lewis,Ryan Lewis-Ryan Lewis,-735,-24,-24,1953533826
33,Ryan Lewis,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Macklemore,Macklemore-Ryan Lewis,-735,-24,-24,1953533826
68,SZA,"SZA, Doja Cat",Kiss Me More (feat. SZA),2,SZA,SZA-SZA,-732,613,613,1575467011
68,SZA,"SZA, Doja Cat",Kiss Me More (feat. SZA),2,Doja Cat,Doja Cat-SZA,-732,613,613,1575467011
125,SZA,SZA,Kill Bill,1,SZA,SZA-SZA,-732,613,613,1163093654
63,Sam Smith,Sam Smith,"I'm Not The Only One",1,Sam Smith,Sam Smith-Sam Smith,188,654,654,1606986953
110,Sam Smith,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),2,Sam Smith,Sam Smith-Sam Smith,188,654,654,1230675890
110,Sam Smith,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),2,Kim Petras,Kim Petras-Sam Smith,188,654,654,1230675890
14,Shawn Mendes,"Shawn Mendes, Camila Cabello",Señorita,2,Shawn Mendes,Shawn Mendes-Shawn Mendes,942,-198,-198,2484812918
14,Shawn Mendes,"Shawn Mendes, Camila Cabello",Señorita,2,Camila Cabello,Camila Cabello-Shawn Mendes,942,-198,-198,2484812918
51,Shawn Mendes,Shawn Mendes,"There's Nothing Holdin' Me Back",1,Shawn Mendes,Shawn Mendes-Shawn Mendes,942,-198,-198,1714490998
135,Silk Sonic,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,3,Bruno Mars,Bruno Mars-Silk Sonic,367,169,169,1115880852
135,Silk Sonic,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,3,Anderson .Paak,Anderson .Paak-Silk Sonic,367,169,169,1115880852
135,Silk Sonic,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,3,Silk Sonic,Silk Sonic-Silk Sonic,367,169,169,1115880852
116,Snoop Dogg,"Dr. Dre, Snoop Dogg",Still D.R.E.,2,Dr. Dre,Dr. Dre-Snoop Dogg,-287,-93,-93,1210599487
116,Snoop Dogg,"Dr. Dre, Snoop Dogg",Still D.R.E.,2,Snoop Dogg,Snoop Dogg-Snoop Dogg,-287,-93,-93,1210599487
5,Swae Lee,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,2,Post Malone,Post Malone-Swae Lee,577,326,326,2808096550
5,Swae Lee,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,2,Swae Lee,Swae Lee-Swae Lee,577,326,326,2808096550
95,Tainy,"Bad Bunny, Tainy",Callaita,2,Bad Bunny,Bad Bunny-Tainy,-264,-541,-541,1304313953
95,Tainy,"Bad Bunny, Tainy",Callaita,2,Tainy,Tainy-Tainy,-264,-541,-541,1304313953
